code,name
SAP_BR_GL_ACCOUNTANT_MX,General Ledger Accountant for Mexico
SAP_BR_GL_ACCOUNTANT_NL,General Ledger Accountant for Netherlands
SAP_BR_GL_ACCOUNTANT_PH,General Ledger Accountant for Philippines
SAP_BR_GL_ACCOUNTANT_PL,General Ledger Accountant for Poland
SAP_BR_GL_ACCOUNTANT_PT,General Ledger Accountant for Portugal
SAP_BR_GL_ACCOUNTANT_RO,General Ledger Accountant for Romania
SAP_BR_GL_ACCOUNTANT_RU,General Ledger Accountant for Russian Federation
SAP_BR_GL_ACCOUNTANT_SA,General Ledger Accountant for Saudi Arabia
SAP_BR_GL_ACCOUNTANT_SG,General Ledger Accountant for Singapore
SAP_BR_GL_ACCOUNTANT_SK,General Ledger Accountant for Slovakia
SAP_BR_GL_ACCOUNTANT_TR,General Ledger Accountant for Turkey
SAP_BR_GL_ACCOUNTANT_TW,General Ledger Accountant for Taiwan
SAP_BR_GL_ACCOUNTANT_ZA,General Ledger Accountant for South Africa
SAP_BR_INTERNAL_SALES_REP,Internal Sales Representative
SAP_BR_INTERNAL_SALES_REP_PRSV,Internal Sales Representative - Professional Services
SAP_BR_INTRASTAT_SPECIALIST,Intrastat Specialist
SAP_BR_INVENTORY_ACCOUNTANT,Cost Accountant - Inventory
SAP_BR_INVENTORY_ACCOUNTANT_RU,Inventory Accountant for Russian Federation
SAP_BR_INVENTORY_ANALYST,Inventory Analyst
SAP_BR_INVENTORY_MANAGER,Inventory Manager
SAP_BR_INVENTORY_MGR_RFM,Inventory Manager (Retail)
SAP_BR_INVOICING_ADMIN_CINV,Administrator (Convergent Invoicing)
SAP_BR_INVOICING_SPEC_CINV,Invoicing Specialist (Convergent Invoicing)
SAP_BR_JVA_ACCOUNTANT,Joint Venture Accountant
SAP_BR_LEGAL_COUNSEL,Legal Counsel
SAP_BR_MAINTENANCE_PLANNER,Maintenance Planner
SAP_BR_MAINTENANCE_TECHNICIAN,Maintenance Technician
SAP_BR_MAINT_SUPERVISOR,Maintenance Supervisor
SAP_BR_MASTER_DATA_IOG,Master Data Specialist (IOG)
SAP_BR_MATL_PLNR_EXT_PROC,Material Planner - External Procurement
SAP_BR_MATL_PLNR_JIT_S_TO_C,Material Planner - Just-In-Time Supply
SAP_BR_MD_SPCLST_ITEM_RFM,Master Data Specialist - Product Data (Retail)
SAP_BR_MD_SPCLST_SITE_RFM,Master Data Specialist - Location Data (Retail)
SAP_BR_MD_SPECIALIST_JIT,Master Data Specialist - Just-In-Time Supply
SAP_BR_MD_SPECIALIST_PCL,Master Data Specialist - Product Compliance
SAP_BR_ORDER_FULFILLMNT_MNGR,Order Fulfillment Manager
SAP_BR_ORDER_FULFILLMNT_SPCLST,Order Fulfillment Specialist
SAP_BR_OVERHEAD_ACCOUNTANT,Cost Accountant - Overhead
SAP_BR_PAYMENT_SPECIALIST,Payment Specialist
SAP_BR_PLANT_MANAGER,Plant Manager
SAP_BR_PRICING_SPECIALIST,Pricing Specialist
SAP_BR_PRODN_ACCOUNTANT,Cost Accountant - Production
SAP_BR_PRODN_ENG_DISC,Production Engineer - Discrete Manufacturing
SAP_BR_PRODN_ENG_PROC,Production Engineer - Process Manufacturing
SAP_BR_PRODN_OPTR_DISC,Production Operator - Discrete Manufacturing
SAP_BR_PRODN_OPTR_LEAN_MFG,Production Operator - Lean Manufacturing
SAP_BR_PRODN_OPTR_PROC,Production Operator - Process Manufacturing
SAP_BR_PRODN_OPTR_RPTV,Production Operator - Repetitive Manufacturing
SAP_BR_PRODN_PLNR,Production Planner
SAP_BR_PRODN_PLNR_LEAN_MFG,Production Planner - Lean Manufacturing
SAP_BR_PRODN_SUPERVISOR_DISC,Production Supervisor - Discrete Manufacturing
SAP_BR_PRODN_SUPERVISOR_PROC,Production Supervisor - Process Manufacturing
SAP_BR_PRODN_SUPERVISOR_RPTV,Production Supervisor - Repetitive Manufacturing
SAP_BR_PRODN_SUPVR_LEAN_MFG,Production Supervisor - Lean Manufacturing
SAP_BR_PRODSTWRD_SPLST_PCL,Product Stewardship Specialist - Product Compliance
SAP_BR_PRODUCT_CONFIG_MODELER,Product Configuration Modeler
